  0.16666667E-03  0.42213770      0.27518996      0.94395624E-01
  0.33333333E-03  0.83908451      0.54806106      0.18641202    
  0.50000000E-03   1.2499293      0.81848118      0.27655086    
  0.66666667E-03   1.6540757       1.0861680      0.36410657    
  0.83333333E-03   2.0519772       1.3508524      0.44928748    
  0.10000000E-02   2.4435803       1.6123363      0.53183472    
  0.11666667E-02   2.8204019       1.8701309      0.61114312    
  0.13333333E-02   3.1937741       2.1238380      0.68681004    
  0.15000000E-02   3.5518026       2.3731894      0.75850038    
  0.16666667E-02   3.9039109       2.6175974      0.82552997    
  0.18333333E-02   4.2374912       2.8567989      0.88770983    
  0.20000000E-02   4.5594690       3.0902623      0.94461297    
  0.21666667E-02   4.8677354       3.3175539      0.99594797    
  0.23333333E-02   5.1600084       3.5384100       1.0417569    
  0.25000000E-02   5.4353849       3.7525494       1.0818831    
  0.26666667E-02   5.6933849       3.9596244       1.1163967    
  0.28333333E-02   5.9334549       4.1594361       1.1454068    
  0.30000000E-02   6.1550093       4.3517787       1.1690620    
  0.31666667E-02   6.3575896       4.5365584       1.1876322    
  0.33333333E-02   6.5409515       4.7135933       1.2014222    
  0.35000000E-02   6.7050777       4.8827098       1.2106356    
  0.36666667E-02   6.8501618       5.0440355       1.2157515    
  0.38333333E-02   6.9765923       5.1975462       1.2172212    
  0.40000000E-02   7.0849436       5.3432731       1.2153814    
  0.41666667E-02   7.1759691       5.4812465       1.2106025    
  0.43333333E-02   7.2505911       5.6115836       1.2032859    
  0.45000000E-02   7.3098847       5.7344111       1.1938100    
  0.46666667E-02   7.3550573       5.8498470       1.1825419    
  0.48333333E-02   7.3874172       5.9581005       1.1698634    
  0.50000000E-02   7.4083542       6.0594195       1.1561445    
  0.51666667E-02   7.4192979       6.1540638       1.1416762    
  0.53333333E-02   7.4216991       6.2423280       1.1267531    
  0.55000000E-02   7.4169953       6.3244565       1.1115867    
  0.56666667E-02   7.4065865       6.4007045       1.0963778    
  0.58333333E-02   7.3918105       6.4713030       1.0812774    
  0.60000000E-02   7.3739207       6.5364685       1.0664293    
  0.61666667E-02   7.3540682       6.5964918       1.0520155    
  0.63333333E-02   7.3332818       6.6515993       1.0381986    
  0.65000000E-02   7.3124602       6.7021102       1.0251024    
